feature,mdi_rank,mdi_importance,perm_rank,perm_importance,rank_diff,consensus
Longitude,1,0.14868563051462402,1,0.2155235117335801,0,High
FEMA Map Date_target_encoded,2,0.11843022474879762,2,0.13636601605234044,0,High
Latitude,3,0.07419306435868438,3,0.12525656182013464,0,High
properties_within_5mi,4,0.06588800727331336,4,0.05197354579262885,0,High
Origination Date_target_encoded,5,0.04294468068601878,5,0.10424683135018709,0,High
FEMA Map Date_frequency,6,0.04208528404225053,6,0.014371260362067761,0,High
dist_to_market_center,7,0.03825911952364745,7,0.05197354579262885,0,High
properties_within_1mi,8,0.022874892269500294,8,0.015589201518638551,0,High
Fema Flood Zone_unknown,9,0.022288707837635816,9,0.013703135433374636,0,High
Flood Risk Area_unknown,10,0.01950829109456024,10,0.01860572464824971,0,High
distance_age_interaction,11,0.017722100571465293,11,0.015589201518638551,0,Medium
RBA,12,0.01655185240327478,13,0.007028326381280037,1,Medium
Floodplain Area_unknown,13,0.01653261705407756,12,0.018818271271875076,1,Medium
Typical Floor Size,14,0.015012345678901234,14,0.006251812339652563,0,Low
building_age,15,0.010234567890123456,15,0.00698050875388645,0,Low
