feature,importance,importance_std
Longitude,0.2155235117335801,0.006099412656196385
FEMA Map Date_target_encoded,0.13636601605234044,0.004755016985577967
Latitude,0.12525656182013464,0.005278222648145688
properties_within_5mi,0.10424683135018709,0.0020446091218057293
Origination Date_target_encoded,0.05197354579262885,0.0011818090160770544
FEMA Map Date_frequency,0.02167986582053909,0.0017488984963169457
dist_to_market_center,0.02055947986306824,0.000999079723120612
properties_within_1mi,0.018818271271875076,0.0014184980398860363
Fema Flood Zone_unknown,0.01860572464824971,0.0012271020350242956
Flood Risk Area_unknown,0.015589201518638551,0.0008357001256369556
distance_age_interaction,0.015154294284037395,0.0017429319929364209
RBA,0.014371260362067761,0.0012359370560911125
Floodplain Area_unknown,0.013703135433374636,0.0011545574731662996
Typical Floor Size,0.008558258868005852,0.0007188765397541742
Zoning_target_encoded,0.007975018444661853,0.0006090209429503655
Building Operating Expenses,0.007028326381280037,0.0008541998218169987
rent_per_parking,0.00698050875388645,0.00046379443122970766
building_age,0.0063735719420397905,0.0008406669458807721
Star Rating,0.006251812339652563,0.0008138626342387932
