feature,importance,importance_pct
Longitude,0.3380424413268351,14.9
FEMA Map Date_target_encoded,0.2688245748649415,11.8
Latitude,0.18526854137320722,7.4
properties_within_5mi,0.15107445912851836,6.6
Origination Date_target_encoded,0.0982827611277043,4.3
FEMA Map Date_frequency,0.09609585569968135,4.2
dist_to_market_center,0.08679727570796799,3.8
properties_within_1mi,0.05291496548040031,2.3
Fema Flood Zone_unknown,0.05020224078435224,2.2
Flood Risk Area_unknown,0.04597099839208081,2.0
distance_age_interaction,0.04035646063126535,1.8
RBA,0.03801724181254505,1.7
Floodplain Area_unknown,0.03799140408216334,1.7
Typical Floor Size,0.0345703424076691,1.5
Zoning_target_encoded,0.03239914626478055,1.4
Building Operating Expenses,0.02818894242962537,1.2
rent_per_parking,0.025706388263979875,1.1
building_age,0.023,1.0
Star Rating,0.021,0.9
